Frequenz,dB
10,-0.03
20,-0.13
30,-0.14
50,-0.15
70,-0.16
100,-0.2
200,-0.43
300,-0.79
500,-1.8
700,-2.95
723.43,-3.08
1000,-4.69
2000,-9.39
3000,-12.56
5.00E+03,-16.81
7.00E+03,-19.75
1.00E+04,-22.71
2.00E+04,-28.5
3.00E+04,-31.47
5.00E+04,-34.99
7.00E+04,-37.82
1.00E+05,-39.27
1.00E+06,-42.03
1.00E+07,-44.53
