Frequenz,Phase
10,-0.6
50,-2.6
100,-4.46
200,-8.46
300,-12.49
500,-20.3
700,-27.6
800,-30.9
900,-34.5
1000,-36.7
1.20E+03,-41.9
1500,-48.2
1700,-51.7
2.00E+03,-56.7
5.00E+03,-75.7
7.00E+03,-80.5
1.00E+04,-85
1.56E+04,-89.5
2.00E+04,-92.1
3.00E+04,-96
5.00E+04,-103
7.00E+04,-112
1.00E+05,-120
1.50E+05,-140
2.00E+05,-156
5.00E+05,-166
1.00E+06,-170
