Frequenz,Phi
10,-0.8
20,-1.60E+00
30,-2.40E+00
50,-3.90E+00
70,-5.4
100,-7.1
200,-15.2
300,-21.9
500,-34.2
700,-43.5
723.43,-44.5
1000,-53.52
2000,-69.4
3000,-74.41
5.00E+03,-81.2
7.00E+03,-83.4
1.00E+04,-86.3
2.00E+04,-89.7
3.00E+04,-92.1
5.00E+04,-90
7.00E+04,-90
1.00E+05,-90
1.00E+06,-90
1.00E+07,-90
