Frequenz,dB
10,-0.103713347300374
50,-0.120999424328184
100,-0.103610250075607
500,-0.103920158505095
1.00E+03,-0.121726171314599
2000,-0.185470882579228
3000,-0.298762498587268
5000,-0.671848925915834
7000,-1.20802314660825
1.00E+04,-2.35935135919839
1.20E+04,-3.30286401657178
1.30E+04,-3.79899897484787
1.40E+04,-4.32452298157509
1.45E+04,-4.59581133615353
1.50E+04,-4.87999883239432
1.56E+04,-5.18275668671608
15700,-5.2629964225942
1.60E+04,-5.42573447830798
1.70E+04,-5.97684219031611
2.00E+04,-7.62376565155836
3.00E+04,-12.8182883961001
5.00E+04,-20.5792739187063
7.00E+04,-26.0837047341483
1.00E+05,-31.9801847964669
1.50E+05,-38.4941984037857
1.00E+06,-50.7143193997102
