Frequenz,Phase
10,0.32
50,-0.3
100,-0.4
500,-0.6
1000,-1.17
2000,-1.3
3000,-2.4
5000,-4.8
7000,-7
1.00E+04,-14.1
1.20E+04,-24.3
1.30E+04,-32.9
1.40E+04,-48
1.45E+04,-58.6
1.50E+04,-72
1.52E+04,-77.8
1.55E+04,-86.7
15580,-90
15700,-92.5
1.60E+04,-101.2
1.70E+04,-124.5
2.00E+04,-152.3
3.00E+04,-191.3
5.00E+04,-187
7.00E+04,-175
1.00E+05,-178
1.00E+06,-180
