Frequenz,dB
10,-29.58
50,-31.26
100,-30.1
200,-28.05
300,-26.02
500,-22.26
700,-19.65
1000,-16.81
2000,-11.2
3000,-8.32
5000,-4.9
7000,-3.08
7480,-2.88
8000,-2.62
1.00E+04,-1.83
2.00E+04,-0.62
3.00E+04,-0.32
5.00E+04,-0.15
7.00E+04,-0.11
1.00E+05,-0.07
1.00E+06,-0.03
1.00E+07,0.14
